artist_name,track_name,release_date,genre,lyrics,topic
mukesh,mohabbat bhi jhoothi,1950,pop,hold time feel break feel untrue convince speak voice tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little turn dust play house ruin run leave save like chase train late late tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little run leave save like chase train know late late play break string feel heart want feel tell real truth hurt lie worse anymore little know little hold time feel,sadness
frankie laine,i believe,1950,pop,believe drop rain fall grow believe darkest night candle glow believe go astray come believe believe believe smallest prayer hear believe great hear word time hear bear baby touch leaf believe believe believe lord heaven guide sin hide believe calvary die pierce believe death rise meet heaven loud amen know believe,world/life
johnnie ray,cry,1950,pop,sweetheart send letter goodbye secret feel better wake dream think real false emotions feel heartaches hang long blue get bluer song remember cloudy hair,music
pérez prado,patricia,1950,pop,kiss lips want stroll charm mambo chacha meringue heaven arm japan brag geisha care long uncle eye starry sort gleam like million dollar dream come true everybody wish steal heart away guess try eye starry sort gleam like million dollar dream come true kiss lips want stroll charm japan brag geisha care long uncle,romantic
giorgos papadopoulos,apopse eida oneiro,1950,pop,till darling till matter know till dream live apart know hearts till world free oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till,romantic
perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,convoy light dead ahead merchantmen trump diesels hammer oily kill grind knuckle white eye alight slam hatch deadly night cunning chicken lair hound hell devil care run silent run deep final prayer warriors secret sleep merchantman nightmare silent death lie wait run silent run deep sink final sleep chill hearts fight open ocean wonder lethal silver fish boat shiver cast millions play killer victim fool obey order rehearse lifeboat shatter hull tear black smell burn jones eye watch crosswire tube ready medal chest weeks dead like rest run silent run deep final prayer warriors secret sleep merchantman nightmare,violence
freestyle,opm medley: when i met you,1950,pop,piece mindin world knowin life come bring give world know give reason feelin give mean life go exist begin touch hair look eye know know good sure endure light world care away ache give reason feelin give mean life go exist begin bakit ganyan bakit ganyan ibig lagi kang pagmasdan umula umaraw hindi pagsasawaan iyong katangian damdamin ibangiba kapag kapiling sinta bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala bakit ganyan kung minsan nauutal kaba kapag kausap ngunit lumalakas loob kung ikaw nakatawa bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala think inlove feel restless inside want want thoughts night mind think think think single single night single moment life want spend think think think tell care tell tell feel word explain happen fast exactly feel right know long madness cause think think think single single night single moment life want spend think think think tell care tell tell feel medley give reason feelin give mean life go exist begin give reason feelin give mean life go exist begin think inlove,world/life
johnny mathis,it's not for me to say,1950,pop,care moment hold fast press lips dream heaven speak share glow grow pass meet break speak share glow grow pass meet,world/life
stélios kazantzídis,klapse me mana klapse me,1950,pop,lonely night surround power read mind hour night kiss lips hold tight unending real begin lonely night surround know certain flirtin night kiss lips hold tight baby maybe baby maybe,romantic
stélios kazantzídis,finito la mouzika,1950,pop,tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game half awhile half game word mouth swallow speak awhile word mouth game offer lose say mean right look size right tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game offer lose say mean right look size,sadness
liva weel,"drømmer man om den, vågner..",1951,pop,better sail midnight better dive pearl better ski aspen better feed squirrels better find horseshoe better lose head better think better say better sing right loud spot crowd better know better set dizzy better count basie band better coltrane better stand better better latest news better evans ballads better williams blue better hear lady check monterey better know better desi better route better kildare better quiz show fix better sing better hitchcock karloff flick switch better movies late night watch fight better circus elephants dance clown parade better peanuts popcorn fresh lemonade better rid midway better seal blow horn better shoot cannon better fresh ears corn better balance wire watch tigers leap better,obscene
the chordettes,carolina moon,1951,pop,moon shin shin wait moon pin pin place long hop tonight right window scatter light alright tell blue lonely dreamy moon shin wait pin place long hop tonight right window scatter light alright tell blue lonely dreamy moon,night/time
frankie laine,necessary evil,1951,pop,come motherfucker spit shit minutes chillin bitchin stuff frankly dont fuck intimate feel stuff feel like sit duck fuel cause theres weakness step fuckin bitch wanna test better caution extra warn mar yeah second horseman kill justify like family diss rest swaggin like rockstar limitless horrorcore bear mister death envy bitterness play rough fool piss presence perfect line spit sentence bless excrements holy shit endin want fight victim vengeance hook kill stone smother know flow super flow like fuckin know soul brother life like cover come punisher know gold hustlah pirate mafakka throath cutter know amazin controllin time space ancient mind razor rhyme alien laser eye cold roll dice crush glacier size fadin live high bitch think say straight think say clearly evil evil necessary prayers virgin diss hospital cemetary leave vast speculation quit rappin wack reputation write everyday lack termination education come motherfucker wanna packin chattin braggin demon rappin blastin smashin kickin jabbin peak game feel swaggin superrap flow little taste embrace feelin like waste greatest create dream replace fake reach overaged,obscene
ghantasala,kanugona galano,1951,pop,work morning flight watch even burn away tear life leave trouble door leave know hold go leave strand grind hear heart music end learn away hear heart music end learn away maybe think think know know heart feel like garbo late night grande hotel live hold go leave strand grind hear heart music end learn away hold go leave strand grind hear heart music end learn away hear heart music end learn away,sadness
les paul,the carioca,1951,pop,see carioca foxtrot polka little rhythm blue rhythm sigh meter tricky wicked wackywicky dance true dream carioca theme kiss sigh dream carioca music light go goodbye head better head dance begin arm lips carioca care polka realize blue hula bamboola tomorrow morning discover carioca lover dance true dream carioca theme kiss sigh dream carioca music light go say goodbye goodbye,romantic
les paul,chicken reel,1951,pop,hahaha alright yeah alright even shoot complain things go want cliché life easy tough easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna thing dreamer think uncool preach better life learn school life live come life life easy tough life easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna things right need fighta life nicea elders polite hurt forget smile nation small good reward unite stand divide fall smile face greet life easy tough easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face alright world better place smile face whatcha gonna whatcha gonna smile face yeah world better place smile face whatcha gonna whatcha gonna smile face smile world better place smile face yeah whatcha gonna whatcha gonna people smile hate screw lot happiness rasta know wish coulda come jamaica honolulu smile face good smile smile fine know vibes smile give inside smile look beautiful like come haha dimple cute hahaha happiness zeen smile,world/life
les paul,blue skies,1951,pop,blue sky smile blue sky bluebirds sing song bluebirds long shin bright things go right notice days hurry blue days go blue sky blue sky smile blue sky shin bright things go right notice days hurry blue days go blue sky blue sky,music
les paul,dark eyes,1951,pop,light bright dark shit backstage alright cause tons trays tons smoke cars tons pain slice skin break heart religion second highs like badminton bathrooms hide flask bag good girls act kill hardly stronger single hour pass feel longer yeah hour glass pour grain get smaller drink come quicker star smoke cloud look like autumn tree pretty color black thoughts eye bloodshot music note know feel skin lick feel high kill drink girl smell sweet whiskey breath throw death girl sweet sexy mess throw death death death death death death death death death death feel feel motto take pills real need slow life like time lapse drug run time pass tell fuck need help young live life seat belt middle ocean pick seashells give detail live hell doubt time fuck feet fell california bear raise single female surf guess email tell stop need swear know felt pain pain killers wash away rain rain fall spot get go shoot maybe heart stop girl smell sweet whiskey breath throw death girl sweet sexy mess throw death death death death death death death death death death,violence
asha bhosle,kotha mukunda,1952,pop,wander garden fence say bring great expense potion guarantee bring relief suffer say exist grasp firmly wrist throw strap torture rack argument mind bend course devious torment worse say speak voice weak tongue blame maybe speak shame brain idle think hasten reply like fool believe think somebody leave,violence
asha bhosle,awaz deta hai sola ka din,1952,pop,easier bitch leave happier face upstairs agonna stomp shout door gonna throw laundry hold shotgun dosido want cyrano easier bitch go little miss little miss little miss wrong little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs people thoughts handmedowns simply turn cook nice brain surgery mama awith monkey wrench little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs yeah wrong wrong wrong wrong wrong cigarettes gonna cough hear song piss fine dollar ninetynine little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs little miss little miss little miss little miss wrong wrong wrong wrong little miss little miss little miss little miss wrong wrong little miss little miss little miss little miss wrong yeah,feelings
mohammed rafi,jahan men log sachhe ashikon ko,1952,pop,park bag pack kind heart look comfortable glow porch word come undo face ghost decide inside burn need kill breathe hold hand search breath leave hop someday breathe breathe open secrets truth distance shelter come view hang head break heart build tear apart burden anymore need kill breathe hold hand search breath leave hop someday breathe hurt want hurt go need kill breathe hold hand search breath leave hop someday breathe breathe need kill breathe hold hand search breath leave hop someday breathe breathe,sadness
ghantasala,avanee nee pathi,1952,pop,feel take moment feel force veiny point tear hold point point clean stable face stay face fact fine say fine remember head manna hell drug need little think take like grow cry pavement hop face hear thing say couple days seat shake ask felt alright want hear truth want hear voice sound fine voice sound fine feel heartbeat take moment sleep alright veiny selfish fear restless night restless night blood sober feel audible crack tell curtain hang neck realize perfect teeth rip head look like paint know thoughts tire leak intact pray think angels end ambulances lord show dream daughter cry inside stomach felt,violence
ghantasala,ee jagamantha natika,1952,pop,know baby hang touch weak strong know cope down stay need roses right arm sweet thorns know touch weak strong know cope down stay need touch weak strong know cope down stay need touch weak strong know cope down stay need,romantic
les paul,smoke rings,1952,pop,tell smoke ring blow night circle blue white picture dream fade phantom parade care away night blow blow silky little ring little smoke ring care away night blow blow silky little ring little smoke ring,music
mukesh,hum tujhse mohabbat kar ke,1952,pop,fly high sing good bring sing like brother tell wanna cause wanna sing song wanna arm night long wanna know wanna peaceful feelin home summer thunder moonbright days northern light sky ablaze bring lover sing silver wing fiery trail sing bring wanna sing wanna sing song wanna arm night long wanna know wanna peaceful feelin home wanna sing song wanna arm night long wanna know wanna peaceful feelin home wanna peaceful feelin home,music
lata mangeshkar,paas nahin aaiye haath na lagaiye,1952,pop,letter straight heart near apart night write memorize line kiss sign darling read right start letter straight heart,night/time
lata mangeshkar,main na janoon,1952,pop,watch sunrise tropic isle pyramid nile remember darlin belong market place algiers send photograph souvenirs remember dream appear belong maybe lonesome blue ocean silver plane jungle rain remember home belong ocean silver plane jungle rain remember home belong,music
asha bhosle,gullyachi shapath,1952,pop,fuck fuck fuck rise fuck bitch know power face fuckin cowards wanna disembowel hour home smoke joint beat shower dispose evidence couple downers know know friends high drink drive innocent fool smile cause punk blow block nigga motherfucker fuck motherfucker punk bitch punk motherfucker motherfucker motherfucker motherfucker high motherfucker high motherfucker high ride motherfucker motherfuckin meet park pussy semper ready fight amendment right guarantee regardless shit like night grab spit shit spite push button fuck recite poems mean shed light hypocrites sodomites incite riot twilight zone tonight cause fuck shut fuck straight punk blow block fuck life cold hell control insecure know fuck immature try grow hydro power bring twin tower gather qaeda cowards burn hell deserve know fuck brother berg shut fuck straight punk blow block,obscene
lata mangeshkar,judai ki khabar hoti agar,1952,pop,fame fruit tree unsound flourish stock grind fame time fly die forget remember update ruin outdated style life memory happen long theatre sadness long forget easy stop wonder wonder safe womb everlasting night darkness brightest light safe place deep earth know truly forget remember update ruin outdated style fame fruit tree unsound flourish stock grind fame time fly die fruit tree fruit tree know rain worry stand stare go fruit tree fruit tree open eye year know go,world/life
lata mangeshkar,maagata maagata janm gele,1953,pop,help weakness hear drifter carry courtroom take away hasn pleasant time long know wrong judge cast robe aside tear come fail understand say outside crowd stir hear door inside judge step jury cry stop curse jury cry attendant nurse trial time worse bolt lightning strike courthouse shape rybody kneel pray drifter escape,violence
lata mangeshkar,chupke chupke (from ''paying guest''),1953,pop,choice life freedom voice government care health cigarettes liquor shelf propaganda feed hungry beast government best govern choice people voice anslinger shady lie congress say marijuana kill hemp fibers threaten paper mill,violence
asha bhosle,chahe kitna mujhe tum bulao ji,1953,pop,hadn lonely awake wonder wide world save give lonely heart demand cupid take hand hadn,sadness
